Що таке права і свободи людини згідно з наданим текстом?,"Це гарантовані можливості людини жити і діяти у суспільстві, задовольняючи свої потреби та інтереси."
Що Конституція України проголошує найвищою соціальною цінністю?,"Людину, її життя, честь і гідність, недоторканність і безпеку."
"Назвіть п'ять категорій, на які поділяються права людини.","Особисті (громадянські), політичні, соціально-економічні, культурні та екологічні."
Що таке механізм захисту прав людини?,"Це система засобів і можливостей, за допомогою яких особа може реалізувати і захистити свої права, свободи і законні інтереси."
Який спосіб захисту прав є пріоритетним в Україні?,Судовий захист.
Хто такий Уповноважений Верховної Ради України з прав людини?,"Незалежний посадовець (омбудсмен), до якого можна звернутися зі скаргою на порушення прав з боку посадовців чи установ."
Яку функцію виконує омбудсмен в Україні?,Здійснює парламентський контроль за дотриманням прав людини і може вносити подання про усунення порушень.
"Назвіть три правоохоронні органи, що займаються охороною прав в Україні.","Національна поліція, прокуратура та адвокатура."
За якої умови громадяни України можуть звертатися до міжнародних органів захисту прав?,Якщо вичерпано всі національні засоби захисту.
Який головний регіональний механізм захисту прав людини для громадян України?,Європейський суд з прав людини (ЄСПЛ).
Чи є рішення ЄСПЛ обов'язковими для України?,"Так, рішення ЄСПЛ є обов'язковими для України."
Які механізми захисту прав людини діють на рівні ООН?,"Комітети ООН з прав людини, Рада ООН з прав людини та Міжнародний кримінальний суд."
Які злочини розглядає Міжнародний кримінальний суд у Гаазі?,"Геноцид, воєнні злочини та злочини проти людяності."
Що таке правовідносини?,"Це суспільні відносини, врегульовані нормами права."
З яких трьох основних елементів складаються правовідносини?,"Суб'єкти, об'єкти та зміст."
Хто може бути суб'єктами правовідносин?,"Фізичні особи, юридичні особи, а також держава та органи влади."
Що є об'єктом правовідносин?,"Благо або явище, з приводу якого виникла взаємодія (матеріальні цінності, послуги, нематеріальні блага тощо)."
Що становить зміст правовідносин?,Суб'єктивні права та юридичні обов'язки його учасників.
Що таке правоздатність фізичної особи?,"Здатність мати юридичні права й обов'язки, яка виникає від народження."
Що таке дієздатність фізичної особи?,Здатність своїми діями набувати для себе права і обов'язки та самостійно нести відповідальність.
З якого віку в цивільному праві настає повна дієздатність?,З 18 років (повноліття).
Здатність нести юридичну відповідальність за правопорушення називається _____.,деліктоздатність
Яка галузь права регулює майнові і особисті немайнові відносини між приватними особами?,Цивільне право.
"Яка галузь права визначає, які діяння є злочинами та яке за них покарання?",Кримінальне право.
Що таке правопорушення?,"Протиправне винне діяння (дія або бездіяльність) деліктоздатної особи, яке завдає шкоди і спричиняє юридичну відповідальність."
Назвіть п'ять головних ознак правопорушення.,"Протиправність, винність, заподіяння шкоди, діяння, караність."
Що означає ознака правопорушення 'протиправність'?,"Порушення норм права, тобто дія суперечить вимогам закону або прямо ним заборонена."
Що означає ознака правопорушення 'винність'?,"Психічне ставлення особи до свого діяння, яке вчиняється умисно або з необережності."
Правопорушення може бути вчинене у формі дії або _____.,бездіяльності
"Особа, яка вчинила правопорушення, називається _____.",правопорушником
З якого віку настає відповідальність за кримінальні злочини?,З 14 років.
З якого віку настає відповідальність за адміністративні проступки?,З 16 років.
"Який вид правопорушень є порушенням трудової, навчальної чи військової дисципліни?",Дисциплінарні проступки.
Який вид правопорушень є найбільш тяжким і передбачений Кримінальним кодексом?,Кримінальні правопорушення (злочини).
На які дві групи умовно поділяють причини правопорушень?,Об'єктивні та суб'єктивні.
Що таке юридична відповідальність?,Застосування до правопорушника передбачених законом заходів державно-примусового впливу (санкцій).
Назвіть мету юридичної відповідальності.,"Відновити справедливість, компенсувати шкоду, перевиховати порушника та запобігти новим правопорушенням."
Який вид юридичної відповідальності є найсуворішим і наступає за вчинення злочинів?,Кримінальна відповідальність.
Які санкції застосовуються в рамках адміністративної відповідальності?,"Штрафи, попередження, адміністративний арешт, позбавлення спеціальних прав."
Який вид відповідальності настає за порушення цивільних зобов'язань або заподіяння майнової шкоди?,Цивільно-правова відповідальність.
Які стягнення застосовуються в рамках дисциплінарної відповідальності?,"Догана, зауваження, звільнення з роботи, відрахування з навчального закладу."
"Який вид відповідальності полягає у відшкодуванні шкоди, заподіяної працівником роботодавцю?",Матеріальна відповідальність.
Назвіть п'ять функцій юридичної відповідальності.,"Охоронна (каральна), виховна, превентивна (попереджувальна), компенсаційна, регулятивна."
Яка функція юридичної відповідальності спрямована на відшкодування завданої шкоди потерпілим?,Компенсаційна функція.
Яка функція юридичної відповідальності стримує інших потенційних правопорушників?,Превентивна (попереджувальна) функція.
Назвіть п'ять принципів юридичної відповідальності.,"Законність, індивідуалізація відповідальності, справедливість, презумпція невинуватості, гуманізм."
Що означає принцип законності в юридичній відповідальності?,"Відповідальність настає тільки за діяння, передбачені законом, і в порядку, встановленому законом."
Принцип 'за одне правопорушення – одне покарання' є частиною якого принципу юридичної відповідальності?,Принципу справедливості.
Що таке презумпція невинуватості?,"Особа вважається невинною, доки її вина не буде доведена і встановлена законним рішенням суду."
"Назвіть дві обставини, що виключають юридичну відповідальність.","Необхідна оборона та крайня необхідність (або інші: фізичний примус, виконання наказу)."
Що таке соціальні норми?,"Правила життя людей у суспільстві, що впорядковують відносини між ними."
Назвіть п'ять видів соціальних норм.,"Звичаї і традиції, моральні норми, релігійні норми, корпоративні норми, правові норми."
Що таке звичай?,"Загальноприйняте правило поведінки, яке склалося внаслідок тривалого повторення."
На чому базуються моральні норми?,"На уявленнях про добро і зло, справедливість, совість, честь."
Чим правові норми відрізняються від інших соціальних норм?,Вони встановлені або санкціоновані державою і підтримуються силою державного примусу.
Яким чином держава перетворює звичаї на закони?,"Держава санкціонує (підтверджує) одні звичаї, надаючи їм силу закону, і відміняє інші."
Що таке мораль?,"Система неофіційних уявлень, цінностей і норм, що склалася у суспільстві щодо добра і зла."
Чим підтримується виконання моральних норм?,"Схваленням або осудом з боку оточення, а також внутрішнім переконанням людини."
У чому головна відмінність між правом і мораллю щодо критеріїв оцінки?,"В праві головний критерій – законність, у моралі – справедливість і добро."
Звідки випливають релігійні норми?,"З релігійних віровчень і догматів, що містяться у священних писаннях та церковних канонах."
Процес відокремлення церкви від держави називається _____.,секуляризацією
"Що означає, що Україна є світською державою?","Церква відокремлена від державного управління, і держава не втручається у внутрішні церковні правила, якщо вони не суперечать законам."
Чи є релігійні норми загальнообов'язковими для всіх громадян України?,"Ні, вони обов'язкові лише для членів відповідних конфесій."
Які соціальні регулятори стали передумовами виникнення права?,"Звичаї, мораль і релігія."
Опишіть зміст правовідносин 'купівлі-продажу' з точки зору прав та обов'язків.,Право покупця вимагати товар і обов'язок оплатити його; право продавця отримати гроші і обов'язок передати товар.
